# DESCRIPTION: Verilator output: Timestamp data for --skip-identical.  Delete at will.
C "-Wall --exe --cc --trace top.v main.cpp --build"
S  20938328   931379  1732776279   857376973  1732776279   857376973 "/usr/local/bin/verilator_bin"
S      3275  1320109  1732776280    77378358  1732776280    77378358 "/usr/local/share/verilator/include/verilated_std.sv"
T      4773 112681288  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop.cpp"
T      2981 112681286  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop.h"
T      1811 112683522  1745203481   353635029  1745203481   353635029 "obj_dir/Vtop.mk"
T       738 112681281  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop__Syms.cpp"
T      1101 112681284  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop__Syms.h"
T      1886 112682060  1745203481   353635029  1745203481   353635029 "obj_dir/Vtop__Trace__0.cpp"
T      3334 112681810  1745203481   352635040  1745203481   352635040 "obj_dir/Vtop__Trace__0__Slow.cpp"
T       954 112681384  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop___024root.h"
T       946 112681793  1745203481   352635040  1745203481   352635040 "obj_dir/Vtop___024root__DepSet_h84412442__0.cpp"
T      6320 112681794  1745203481   352635040  1745203481   352635040 "obj_dir/Vtop___024root__DepSet_heccd7ead__0.cpp"
T      3042 112681486  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop___024root__DepSet_heccd7ead__0__Slow.cpp"
T       614 112681484  1745203481   351635052  1745203481   351635052 "obj_dir/Vtop___024root__Slow.cpp"
T       524 112683542  1745203481   353635029  1745203481   353635029 "obj_dir/Vtop__ver.d"
T         0        0  1745203481   353635029  1745203481   353635029 "obj_dir/Vtop__verFiles.dat"
T      1637 112683451  1745203481   353635029  1745203481   353635029 "obj_dir/Vtop_classes.mk"
S       416 112681096  1745202577   955697444  1745202577   955697444 "top.v"
